feature,importance
estimated_glomerular_filtration_rate,0.31576108375306966
serum_creatinine,0.14633094105528097
urine_protein_to_creatinine_ratio,0.10916928948535826
cystatin_c_level,0.08650855510747989
blood_urea,0.06930164785066915
parathyroid_hormone_level,0.05392592798045988
urine_output,0.03138662834257188
serum_phosphate_level,0.02885131044192309
hemoglobin_level,0.026090754993193535
albumin_in_urine,0.02199932893184707
specific_gravity_of_urine,0.01328558149508771
serum_calcium_level,0.010693931366883229
potassium_level,0.009880254693671547
packed_cell_volume,0.009029704418577297
red_blood_cell_count,0.008759818514147281
anemia,0.007616023367485945
blood_pressure,0.0075304916987352
serum_albumin_level,0.006608922693161393
sodium_level,0.004859536598208811
interleukin_6_level,0.0035923254969572028
white_blood_cell_count,0.0034051336535591476
cholesterol_level,0.0033822562545127973
c_reactive_protein_level,0.003165707348588859
age_of_the_patient,0.002903559301419626
body_mass_index,0.002744190685563352
duration_of_hypertension,0.0025738765740715573
random_blood_glucose_level,0.0025620640501647367
duration_of_diabetes_mellitus,0.0015562009717611635
sugar_in_urine,0.000847869042407526
hypertension,0.0008356441374946427
physical_activity_level,0.0006846570765897332
family_history_of_chronic_kidney_disease,0.00047496339512027717
coronary_artery_disease,0.00045798649025413705
smoking_status,0.0004183308586157316
pedal_edema,0.0004146972944404158
appetite,0.00037683130578442333
bacteria_in_urine,0.00036669705810007963
pus_cells_in_urine,0.00036192410379089223
urinary_sediment_microscopy_results,0.00034389186364072787
diabetes_mellitus,0.00033210492452519246
pus_cell_clumps_in_urine,0.00033059231789062056
red_blood_cells_in_urine,0.0002787630069352953
